Text 1,Text 2,Index,Ann_1,Ann_2,Gold,Notes
"Es mag Wahrheiten geben, die jenseits des Sprechenden liegen, und sie mögen für den Menschen, sofern er auch im Singular, d. h. außerhalb des politischen Bereichs im weitesten Verstand, existiert, von größtem Belang sein.","It is a society of laborers which is about to be liberated from the fetters of labor, and this society does no longer know of those other higher and more meaningful activities for the sake of which this freedom would deserve to be won.",40,30,30,30,
"Sofern wir im Plural existieren, und das heißt, sofern wir in dieser Welt leben, uns bewegen und handeln, hat nur das Sinn, worüber wir miteinander oder wohl auch mit uns selbst sprechen können, was im Sprechen einen Sinn ergibt.","Within this society, which is egalitarian because this is labor’s way of making men live together, there is no class left, no aristocracy of either a political or spiritual nature from which a restoration of the other capacities of man could start anew.",41,31,31,31,
"Näherliegend und vielleicht ebenso entscheidend ist ein anderes bedrohliches Ereignis des letzten Jahrzehnts, die noch in ihren Anfangsstadien begriffene Ausbreitung der Automation.","Even presidents, kings, and prime ministers think of their offices in terms of a job necessary for the life of society, and among the intellectuals, only solitary individuals are left who consider what they are doing in terms of work and not in terms of making a living.",42,32&33,32,,*
"Wir wissen bereits, ohne es uns doch recht vorstellen zu können, daß die Fabriken sich in wenigen Jahren von Menschen geleert haben werden und daß die Menschheit der uralten Bande, die sie unmittelbar an die Natur ketten, ledig sein wird, der Last der Arbeit und des Jochs der Notwendigkeit.","What we are confronted with is the prospect of a society of laborers without labor, that is, without the only activity left to them.",43,33,33,33,
"Auch hier handelt es sich um einen Grundaspekt menschlichen Daseins, aber die Rebellion gegen diese menschliche Existenzbedingung, das Verlangen nach dem leichten, von Mühe und Arbeit befreiten, göttergleichen Leben ist so alt wie die überlieferte Geschichte.","Surely, nothing could be worse.",44,34,34,34,
"Auch ist ein von Arbeit befreites Leben ja nicht neu; es gehörte einst zu den selbstverständlichsten und bestgesicherten Vorrechten und Privilegien der Wenigen, die über die Vielen herrschten.","To these preoccupations and perplexities, this book does not offer an answer.",45,35,35,35,
"So mag es scheinen, als würde hier durch den technischen Fortschritt nur das verwirklicht, wovon alle Generationen des Menschengeschlechts nur träumten, ohne es jedoch leisten zu können.","Such answers are given every day, and they are matters of practical politics, subject to the agreement of many; they can never lie in theoretical considerations or the opinion of one person, as though we dealt here with problems for which only one solution is possible.",46,36,36,36,
Aber dieser Schein trügt.,What I propose in the following is a reconsideration of the human condition from the vantage point of our newest experiences and our most recent fears.,47,37,37,37,
"Die Neuzeit hat im siebzehnten Jahrhundert damit begonnen, theoretisch die Arbeit zu verherrlichen, und sie hat zu Beginn unseres Jahrhunderts damit geendet, die Gesellschaft im Ganzen in eine Arbeitsgesellschaft zu verwandeln.","This, obviously, is a matter of thought, and thoughtlessness—the heedless recklessness or hopeless confusion or complacent repetition of “truths” which have become trivial and empty—seems to me among the outstanding characteristics of our time.",48,38,38,38,
"Die Erfüllung des uralten Traums trifft wie in der Erfüllung von Märchenwünschen auf eine Konstellation, in der der erträumte Segen sich als Fluch auswirkt.","What I propose, therefore, is very simple: it is nothing more than to think what we are doing.",49,39,39,39,
"Denn es ist ja eine Arbeitsgesellschaft, die von den Fesseln der Arbeit befreit werden soll, und diese Gesellschaft kennt kaum noch vom Hörensagen die höheren und sinnvolleren Tätigkeiten, um deretwillen die Befreiung sich lohnen würde.",“What we are doing” is indeed the central theme of this book.,50,40,40,40,
"Innerhalb dieser Gesellschaft, die egalitär ist, weil dies die der Arbeit angemessene Lebensform ist, gibt es keine Gruppe, keine Aristokratie politischer oder geistiger Art, die eine Wiedererholung der Vermögen des Menschen in die Wege leiten könnte.","It deals only with the most elementary articulations of the human condition, with those activities that traditionally, as well as according to current opinion, are within the range of every human being.",51,41,41,41,
"Auch die Präsidenten der Republiken, die Könige und Kanzler mächtiger Reiche halten das, was sie tun, für eine im Leben der Gesellschaft notwendige Arbeit, ihr Amt ist ein Job wie jeder andere auch; und was die mit geistigen Tätigkeiten Befaßten von dem, was sie tun, denken, drückt der Name »Geistesarbeiter* zur Genüge aus: wo andere mit der Hand arbeiten, bedienen sie sich eines anderen Körperteils, nämlich des Kopfes.","For this and other reasons, the highest and perhaps purest activity of which men are capable, the activity of thinking, is left out of these present considerations.",52,42,42,42,
"Hiervon ausgenommen sind wirklich nur noch „die Dichter und Denker“, die schon aus diesem Grunde außerhalb der Gesellschaft stehen.","Systematically, therefore, the book is limited to a discussion of labor, work, and action, which forms its three central chapters.",53,,,,
"Was uns bevorsteht, ist die Aussicht auf eine Arbeitsgesellschaft, der die Arbeit ausgegangen ist, also die einzige Tätigkeit, auf die sie sich noch versteht.","Historically, I deal in a last chapter with the modern age, and throughout the book with the various constellations within the hierarchy of activities as we know them from Western history.",54,43,43,43,
Was könnte verhängnisvoller sein?,"However, the modern age is not the same as the modern world.",55,44,44,44,
"Auf all diese Fragen, Sorgen und Probleme weiß dies Buch keine Antwort.","Scientifically, the modern age which began in the seventeenth century came to an end at the beginning of the twentieth century; politically, the modern world, in which we live today, was born with the first atomic explosions.",56,45,45,45,
"Was es an Antworten gibt, wird jeden Tag und überall von Menschen faktisch gegeben, und sofern es sich um Lösungen von Problemen handeln sollte, sind diese eine Sache der praktischen Politik, die von der Übereinkunft vieler Menschen abhängen und abhängen müssen.","I do not discuss this modern world, against whose background this book was written.",57,46,46,46,
"Sie sind und dürfen keine Sache theoretischer Erwägungen eines Einzelnen sein, die nie mehr als die Ansicht eines Menschen reflektieren, als hätten wir es hier überhaupt mit Dingen zu tun, für die es nur eine mögliche Lösung gäbe.","I confine myself, on the one hand, to an analysis of those general human capacities which grow out of the human condition and are permanent, that is, which cannot be irretrievably lost so long as the human condition itself is not changed.",58,46,46,46,
"Was ich daher im Folgen den vorschlage, ist eine Art Besinnung auf die Bedingungen, unter denen, soviel wir wissen, Menschen bisher gelebt haben, und diese Besinnung ist geleitet, auch wenn es nicht ausdrücklich gesagt ist, von den Erfahrungen und den Sorgen der gegenwärtigen Situation. Solch eine Besinnung verbleibt natürlich im Bereich des Denkens und Nachdenkens, und praktisch gesprochen vermag sie nichts, als zu weiterer Besinnung anregen - was immerhin viel leicht nicht nichts ist angesichts des oft ruchlos anmutenden Optimismus, der hoffnungslosen Verwirrtheit oder dem ahnungslosen Wiederkäuen des guten Alten, die nur zu oft die geistige Atmosphäre bestimmen, in der diese Dinge diskutiert werden.","The purpose of the historical analysis, on the other hand, is to trace back modern world alienation, its twofold flight from the earth into the universe and from the world into the self, to its origins, in order to arrive at an understanding of the nature of society as it had developed and presented itself at the very moment when it was overcome by the advent of a new and yet unknown age.",59,49,"47, 48",,*
"Wie immer es damit bestellt ist, was ich vorschlage, ist etwas sehr Einfaches, es geht mir um nichts mehr, als dem nachzudenken, was wir eigentlich tun, wenn wir tätig sind.",,60,,49,,*
"“Was wir tun, wenn wir tätig sind“ - das ist das Thema des vorliegenden Buches.",,61,50,50,50,
"Es handelt nur von den allerelementarsten Gliederungen, in die das Tätigsein überhaupt zerfällt, also von denjenigen, die der Überlieferung wie unserer eigenen Meinung zufolge offenbar innerhalb des Erfahrungshorizonts jedes Menschen liegen sollten.",,62,51,51,51,
"Aus diesem und anderen, später angeführten Gründen fällt das höchste und vielleicht reinste Tätigsein, von dem Menschen wissen, die Tätigkeit des Denkens aus dem Rahmen dieser Überlegungen her aus.",,63,52,52,52,
"Daraus ergibt sich systematisch, daß das Buch um die drei Kapitel, die jeweils eine Analyse der Arbeit, des Herstellens und des Handelns enthalten, zentriert ist.",,64,53,53,53,
"Ein abschließendes Kapitel geht historisch darauf ein, wie sich diese Tätigkeiten in der Neuzeit zueinander verhalten haben, aber auch in der systematisch gehaltenen Analyse der anderen Kapitel werden die verschiedenen Konstellationen innerhalb der Vita activa selbst wie das Verhältnis von Vita activa und Vita contemplativa, wie wir sie aus der Geschichte kennen, immer mit berücksichtigt.",,65,54,54,54,
So reicht der historische Horizont des Buches nicht weiter als bis zum Ende der Neuzeit.,,66,,57,,*
Die Neuzeit und die moderne Welt sind nicht dasselbe.,,67,55,55,55,
"Was die wissenschaftliche Entwicklung betrifft, so ist die Neuzeit, die mit dem siebzehnten Jahrhundert anhob, bereits um die Jahrhundertwende an ihr Ende gekommen; was das Politische anlangt, so dürfte die Welt, in der wir nun leben, angebrochen sein, als die ersten atomischen Explosionen auf der Erde stattfanden.",,68,56,56,56,
"Aber diese moderne Welt bleibt im Hintergrund meiner Erwägungen, die noch voraussetzen, daß die Grundvermögen des Menschen, die den Grundbedingtheiten menschlicher Existenz auf der Erde entsprechen, sich nicht ändern; sie können solange nicht unwiderruflich verloren gehen, als diese Grundbedingtheiten nicht radikal durch andere ersetzt sind.",,69,57&58,58,,*
"Die Absicht der historischen Analysen ist, die neuzeitliche Weltentfremdung in ihrem doppelten Aspekt: der Flucht von der Erde in das Universum und der Flucht aus der Welt in das Selbstbewußtsein, in ihre Ursprünge zu verfolgen, um so vielleicht zu einem besseren Verständnis des neuzeitlichen Gesellschaftsphänomens zu kommen, bzw. der Situation der europäischen Menschheit in dem Augenblick, als für sie und damit für alle Menschen der Erde ein neues Zeitalter anbrach.",,70,59,59,59,
